 ,Area
1190,55
1191,272
1192,298
1193,321
1194,384
1195,47
1196,292
1197,81
1198,500
1199,167
1200,299
1201,368
1202,364
1203,283
1204,296
1205,234
1206,77
1207,362
1208,261
1209,278
1210,281
1211,414
1212,269
1213,275
1214,433
1215,493
1216,276
1217,294
1218,282
1219,305
1220,391
1221,216
1222,316
1223,287
1224,469
1225,426
1226,185
1227,355
1228,306
1229,392
1230,326
1231,151
1232,361
1233,496
1234,293
1235,309
1236,447
1237,285
1238,293
1239,303
1240,304
1241,423
1242,347
1243,338
1244,275
1245,256
1246,328
1247,299
1248,318
1249,217
1250,335
1251,375
1252,118
1253,303
1254,194
1255,186
1256,372
1257,375
1258,296
1259,430
1260,306
1261,433
1262,260
1263,320
1264,321
1265,370
1266,155
1267,415
1268,329
1269,309
1270,430
1271,204
1272,303
1273,320
1274,287
1275,61
1276,347
1277,281
1278,248
1279,429
1280,365
1281,378
1282,317
1283,291
1284,119
1285,228
1286,276
1287,316
1288,319
1289,287
1290,266
1291,215
1292,318
1293,361
1294,417
1295,300
1296,306
1297,324
1298,308
1299,490
1300,321
1301,314
1302,231
1303,240
1304,319
1305,467
1306,296
1307,305
1308,361
1309,242
1310,324
1311,426
1312,295
1313,420
1314,464
1315,199
1316,269
1317,319
1318,372
1319,461
1320,407
1321,309
1322,199
1323,303
1324,320
1325,202
1326,338
1327,324
1328,460
1329,254
1330,309
1331,450
1332,39
1333,305
1334,44
1335,308
1336,318
1337,307
1338,321
1339,328
1340,439
1341,330
1342,324
1343,310
1344,378
1345,283
1346,354
1347,303
1348,408
1349,384
1350,278
1351,286
1352,454
1353,294
1354,186
1355,288
1356,274
1357,362
1358,301
1359,297
1360,327
1361,319
1362,323
1363,303
1364,352
1365,331
1366,236
1367,285
1368,280
1369,442
1370,459
1371,307
1372,313
1373,322
1374,282
1375,321
1376,329
1377,199
1378,482
1379,274
1380,276
1381,293
1382,435
1383,283
1384,343
1385,292
1386,308
1387,345
1388,351
1389,489
1390,316
1391,232
1392,493
1393,29
1394,318
1395,402
1396,151
1397,486
1398,275
1399,372
1400,375
1401,285
1402,354
1403,295
1404,249
1405,490
1406,316
1407,492
1408,439
1409,336
1410,298
1411,276
1412,301
1413,299
1414,377
1415,349
1416,483
1417,320
1418,293
1419,301
1420,300
1421,285
1422,354
1423,490
1424,325
1425,324
1426,344
1427,467
1428,489
1429,319
1430,308
1431,317
1432,294
1433,324
1434,430
1435,436
1436,315
1437,474
1438,391
1439,382
1440,311
1441,303
1442,497
1443,371
1444,337
1445,296
1446,311
1447,440
1448,305
1449,331
1450,282
1451,302
1452,408
1453,292
1454,205
1455,320
1456,207
